Transporter,Address,Numbers,Contact Person
SINGLA ROADWAYS PVT.LTD.,"transport nagar jalandhar , jalandhar","Contact No : 9888335972, ,",Contact Person : NULL
HARSH TRANSPORT PVT.LTD.,"33- kapurthala road jalandhar , jalandhar","Contact No : 9888636886, 4624601,",Contact Person : NULL
BHARAT GOODS CARRIERS,"p.no.17- patel chowk jalandhar , jalandhar","Contact No : 9357201010, 2282248,",Contact Person : NULL
KARNATAKA FREIGHT MOVER PVT.LTD.,"plot no.228- transport nagar jalandhar , jalandhar","Contact No : 9316945187, ,",Contact Person : NULL
ASSAM BENGAL ROADLINES,"16- b.n. patel chok jalandhar , jalandhar","Contact No : 9815601619, 2401967,",Contact Person : NULL
KAPOOR STUDIO,"shop no 2- m c market- sodal j m p road- sodal nagar�sodal road- jalandhar -144004 , jalandhar","Contact No : 9872737046, 0181 , 5095541,",Contact Person : NULL
PRINCE CARGO MOVERS,"ram nagar fatak ind. area jalandhar , jalandhar","Contact No : 9815311995, 2292295,",Contact Person : NULL
AMAN ROAD CARRIERS,"38- kapurthala road jalandhar , jalandhar","Contact No : 9357257757, 2621276,",Contact Person : NULL
JBR CARRIERS,"42b- kapurthala road jalandhar , jalandhar","Contact No : 9357721142, 2621142,",Contact Person : NULL
HARJEET ROAD TRANSPORT CORPORATION,"jail link road jalandhar , jalandhar","Contact No : 9815912341, 5007711,",Contact Person : NULL
JET COURIER AND CARGO SERVICES,"no. 12/6� street shivaji nagar- danish madan , jalandhar","Contact No : 9357216748, 0182 , 2431493,",Contact Person : NULL
SHIVAM CARGO PACKERS & MOVERS,"7-� shree arihant building- mohali- chandigarh -140501 , jalandhar","Contact No : 9356627134, , 9810481634",Contact Person : NULL
GANGORE LOGISTICS PVT.LTD.,"wh-122- kapurthala jalandhar , jalandhar","Contact No : 9317410096, ,",Contact Person : NULL
AEGON RELIGARE LIFE INSURANCE,"sco-5- 1st floor-� puda complex�court road- jalandhar -144001 , jalandhar","Contact No : , 0181 , 6612829,",Contact Person : NULL
BHARTI AXA LIFE INSURANCE CO. LTD.,"2nd floor� multani complex�tanda road- jalandhar -144001 , jalandhar","Contact No : 9999999999, 18001032292,",Contact Person : NULL
RASTRIYA CARGO TRANSPORT (REGD.),"411- shiv nagar ind. area jalandhar , jalandhar","Contact No : 9988827577, 2621995,",Contact Person : NULL
JUPETER GOLDEN CARRYING CORPORATION,"34- new gopal nagar grain market road jalandhar , jalandhar","Contact No : 9357208074, 2491758,",Contact Person : NULL
AKAL GOODS TRANSPORT CORPN.,"297- transport nagar jalandhar , jalandhar","Contact No : 9417219115, 5087853,",Contact Person : NULL
THE JULLUNDHAR EX-SERVICEMEN MOTORS,"6- patel chowk jalandhar , jalandhar","Contact No : 9872083220, 2403615,",Contact Person : NULL
INDO ARYA CETREL TRANSPORT LTD.,"137- kapurthala road jalandhar , jalandhar","Contact No : 9988887638, 2620963,",Contact Person : NULL
D.S. TRANSPORT CORPORATION (REGD.),"126- transport nagar jalandhar , jalandhar","Contact No : 9872800162, 5013692,",Contact Person : NULL
AGGARWAL CARGO PACKERS & MOVERS (REGD.),"h.no-10- guru nanak nagaripatel chowk , jalandhar","Contact No : 9888283748, 9888282791, 0181, 5091600,",Contact Person : manjeet kumar
THE FAST ROAD CARRIER,"13- patel chowk jalandhar , jalandhar","Contact No : 9316597577, 2282411,",Contact Person : NULL
VARUN LOGISTICS,"n.h.16- patel chowk jalandhar , jalandhar","Contact No : 9356670853, 3253882,",Contact Person : NULL
PATIALA FREIGHTWAYS (REGD.),"wh-61- kapurthala road jalandhar , jalandhar","Contact No : , 5002366,",Contact Person : NULL
INTEGRATED REGISTRY SERVICES LTD.,"no. 62� modern colony�g.t. road- jalandhar -144001 , jalandhar","Contact No : , 0181 , 2239233, 0181 , 2459234, 0181 , 5080933,",Contact Person : shikha gupta
ANIMIKA ROADWAYS,"n.h.127 ind. area jalandhar , jalandhar","Contact No : 9779740217, 2491927,",Contact Person : NULL
JALANDHAR DELHI GOODS TRANSPORT PVT.LTD.,"scf-38- shaheed bhagat singh park jalandhar , jalandhar","Contact No : , 2457265,",Contact Person : NULL
SINGHAL TRANSPORT CORPORATION,"32- new gopal nagar- new grain market road , jalandhar","Contact No : , 2255853,",Contact Person : NULL
ICICI PRUDENTIAL LIFE INSURANCE CO. LTD.,"4th floor� b.m.c. chowk- jalandhar -144001 , jalandhar","Contact No : 9815977766, ,",Contact Person : NULL
HIMALYA ROADWAYS (INDIA),"3b- patel chowk jalandhar , jalandhar","Contact No : 9357212071, 5004573,",Contact Person : NULL
ASSOCIATED ROAD CARRIERS,"near tagore hospital�g.t. road- jalandhar -144001 , jalandhar","Contact No : , 0181 , 2470498, 8576087835",Contact Person : NULL
SARNA TRANSPORT CORPORATION,"33- kapurthala road jalandhar jalandhar , jalandhar","Contact No : 9357253061, 4624601,",Contact Person : NULL
KATARIA CARRYING CORPORATION,"patel chowk jalandhar , jalandhar","Contact No : 9815258703, ,",Contact Person : NULL
NORT WEST ROADLINES PVT.LTD.,"189- ind.ara jalandhar , jalandhar","Contact No : 9256811880, ,",Contact Person : NULL
ORIENTAL INSURANCE,"1- 32� g.t. road- jalandhar -144001 , jalandhar","Contact No : , 0181 , 2225684, 0181 , 2225476,",Contact Person : NULL
ACUMEN OVERSEAS PVT. LTD.,"no. 17- 1st floor� kalyan singh bhatia complex�ladowali road- jalandhar -144001 , jalandhar","Contact No : , 0181 , 5087103, 0181 , 5064774,",Contact Person : NULL
JAI SHANKAR ROADLINES,"e-9- ind area jalandhar , jalandhar","Contact No : 9316498126, 3244366,",Contact Person : NULL
RAJ OVERSEAS CARGO CARRIERS,"s.no.4- gali gulla ground jalandhar , jalandhar","Contact No : 9316444443, 3291156,",Contact Person : NULL
INTERNATIONAL TRANSPORT CO.,"care of hotel international� - g.t. road�ranjeet nagar- jalandhar -144001 , jalandhar","Contact No : 9815481174, 0181 , 2237910,",Contact Person : raj
THE KARTAR GOODS CARRIERS PVT.LTD.,"thakur building 1- patel chowk jalandhar , jalandhar","Contact No : , 2621821,",Contact Person : NULL
RCC TRANSPORT COMPANY PVT.LTD.,"banda bahadur nagar patel park jalandhar , jalandhar","Contact No : 9414862367, 2621958,",Contact Person : NULL
JALANDHAR LUDHIANA TRANSPORT CO.,"kapurthala road- jalandhar -144001 , jalandhar","Contact No : , 0181 , 2620374,",Contact Person : NULL
MASTER TRANSPORT COMPANY,"113- transport nagar jalandhar , jalandhar","Contact No : , 2600888,",Contact Person : NULL
AHALIA MONEY EXCHANGE & FINANCIAL SERVICES PVT LTD,"no. 8-b- 1st floor� g.t. road- jalandhar -144001 , jalandhar","Contact No : , 0181 , 4622472,",Contact Person : NULL
NEW SHARMA GOLDEN TRANSPORT COMPANY,"kailash ashram market tanda road jalandhar , jalandhar","Contact No : 9872009935, 5003331,",Contact Person : NULL
NEW BHAGAWATI ROADWAYS,"71- kaputhala jalandhar , jalandhar","Contact No : 9357212281, 2621962,",Contact Person : NULL
KHUSHDIL GOODS TRANSPORT COMPANY (REGD.),"near union bank of india jalandhar , jalandhar","Contact No : , 5079906,",Contact Person : NULL
BOMBAY JALANDHAR TRANSPORT CO.,"near work shop chowk gulab devi jalandhar , jalandhar","Contact No : 9316577758, ,",Contact Person : NULL
MOONLIGHT FREIGHT CARRIERS,"7- patel chowk jalandhar , jalandhar","Contact No : 9818806604, 2620829,",Contact Person :
BALJIT RAI CONSULTANT,"adjoining baba balknath mandir- basti sheikh�raja garden- jalandhar -144002 , jalandhar","Contact No : 9872088299, ,",Contact Person : NULL
DOABA ROADWAYS (REGD.),"jail link road jalandhar , jalandhar","Contact No : , 2621901,",Contact Person : NULL
VIJAY PACKERS & LOGISTICS,"chandigarh road , jalandhar","Contact No : 9317888813, ,",Contact Person : NULL
S.MALHOTRA ROADLINES,"33- kapurthala road jalandhar , jalandhar","Contact No : 9814018257, 5072991,",Contact Person : NULL
GREEN CARRIERS & CONT. DELHI PVT.LTD.,"55- kaputhala road jalandhar , jalandhar","Contact No : 7307453830, 2620873,",Contact Person : NULL
STATE CARGO PACKER& TANSPORT,"near tagore hospital , jalandhar","Contact No : 9569531895, 9569031895,",Contact Person : surender kumar
JAMMU BOMBAY TRANSPORT CO.,"near work shop chowk gulab devi jalandhar , jalandhar","Contact No : 9316577746, 3248761,",Contact Person : NULL
GURU RAMDAS TRANSPORT CO.,"shop no.4 transport nagar jalandhar , jalandhar","Contact No : 9888545414, 7610000814, 9888545414",Contact Person : 9855400814
PUNJAB INDORE GOODS CARRIERS,"transport nagar jalandhar , jalandhar","Contact No : 7837711100, ,",Contact Person : NULL
THE PUNJAB TRANSPORT COMPANY (REGD.),"52- kapurthala road jalandhar , jalandhar","Contact No : 9888147509, 2620895,",Contact Person : NULL
JOSHI FREIGHT CARRIERS,"7- patel chowk jalandhar , jalandhar","Contact No : 9815376170, ,",Contact Person : NULL
KASHMIR HIMACHAL ROADLINES,"wh-147- kapurthala road jalandhar , jalandhar","Contact No : 9417755354, 2620941,",Contact Person : NULL
BLK LOGISTIKS LTD.,"transport nagar jalandhar , jalandhar","Contact No : 9316386211, 3252484,",Contact Person : NULL
SHYAM ROADLINES,"f-234- ind. area jalandhar , jalandhar","Contact No : , 3242120,",Contact Person : NULL
EK NOOR ROAD CARRIERS,"plot no.35- transport nagar jalandhar , jalandhar","Contact No : 9357208692, 5075861,",Contact Person : NULL
KARVAT GROUP.IN,"office no. 1- 3rd floor� ing vysya bank building� - namdev chowk- g t road , jalandhar","Contact No : , 0181 , 2226929,",Contact Person : NULL
SHIV SAGAR TRANSPORT CO.,"grain market jalandhar , jalandhar","Contact No : 9814668311, 2470040,",Contact Person : NULL
P.K. TRANSPORT CORPORATION,"kapurthala road jalandhar , jalandhar","Contact No : , 2621211,",Contact Person : NULL
UNITED LOGISTICS EXP. SERVICE,"b/s new grain market jalandhar , jalandhar","Contact No : 9357205930, 3251699,",Contact Person : NULL
PERFECT PARCEL SERVICE,"wh-61- kapurthala road jalandhar , jalandhar","Contact No : , 2621877,",Contact Person : NULL
PAUL MERCHANTS LTD.,"alfa estate�g.t. road- jalandhar -144001 , jalandhar","Contact No : 9317714333, 0181 , 2239104, 0181 , 2243802,",Contact Person : ashwini sharma
DELITE CARGO MOVERS,"6-a- patel chowk jalandhar , jalandhar","Contact No : 9814109577, 2620549,",Contact Person : chander mohan arora
GLOBE TRACTORS LTD.,"g.t. road- jalandhar -144001 , jalandhar","Contact No : , 0181 , 2455966,",Contact Person : NULL
MEHRA GOODS CORPORATION (REGD.),"8- patel chowk jalandhar , jalandhar","Contact No : 9855527027, 2620062,",Contact Person : NULL
BOMBAY SRI NAGAR TRANSPORT,"plot no.1- transport nagar jalandhar , jalandhar","Contact No : , 2601485,",Contact Person : NULL
MARUTI EXPRESS PACKERS & MOVERS,"office no.5- plot no.14- patel chowk- jalandhar , jalandhar","Contact No : 09317173000, ,",Contact Person : surajpal singh
LUCKY TRANSPORT CORPORATION (REGD.),"rama mandi jalandhar cantt. , jalandhar","Contact No : 9257202409, 2414714,",Contact Person : NULL
ONE POINT LOGISTICS SOLUTIONS PVT. LTD.,"no. 105� lajpat nagar- jalandhar -144001 , jalandhar","Contact No : , 0181 , 4621916,",Contact Person : NULL
HDFC ERGO GENERAL INSURANCE CO.LTD,"3rd floor- 261� eminent mall�lajpat nagar- jalandhar -144001 , jalandhar","Contact No : , 0181 , 3988360,",Contact Person : NULL
JAIPUR GOLDEN,"no. 5� patel chowk- jalandhar -144008 , jalandhar","Contact No : , 0181 , 2620988,",Contact Person : NULL
GLOBE TRANSPORT CO.,"42-b- kapurthala road jalandhar , jalandhar","Contact No : 9357721142, 2621142,",Contact Person : NULL
LAKSMI TRANSPORT CORPORATION (REGD.),"74- kapurthala road jalandhar , jalandhar","Contact No : 9815030407, 2621897,",Contact Person : NULL
ING VYSYA LIFE INSURANCE INDIA CO.,"2nd floor-� pam rose world trade centre� - g.t. road�jalandhar city h.o.- jalandhar -144001 , jalandhar","Contact No : , 0181 , 5055255, 0181 , 5055266,",Contact Person : rominder singh
BHARAT ROAD CARRIERS,"plot no.201- transport nagar , jalandhar","Contact No : 9371945186, ,",Contact Person :
DASHMESH TRANSPORT ORGANISATION,"wh-147- kapurthala road jalandhar , jalandhar","Contact No : , 2620972,",Contact Person : NULL
GOLDEN INDIA TRANSPORT COMPANY (REGD.),"gulab devi hospital road ram mandir , jalandhar","Contact No : , 2202760,",Contact Person : NULL
NEW GUPTA TRANSPORT COPN.,"patel chowk jalandhar , jalandhar","Contact No : , 2620826,",Contact Person : NULL
GULLU TRANSPORT CO.,"p.no.36- transport nagar jalandhar , jalandhar","Contact No : 9872310866, 5082281,",Contact Person : NULL
DELHI U.P. M.P. TRANSPORT COMPANY,"7-a- indira building jalandhar , jalandhar","Contact No : , 2620836,",Contact Person : NULL
NEW CALCUTTA ROADWAYS,"15- patel chowk jalandhar , jalandhar","Contact No : 9815958998, 2282411,",Contact Person : NULL
INDIA INFOLINE COM DISTRIBUTION CO. LTD.,"jl-cantt- street no-1- hardyal road- above white rose restaurant�jalandhar cantt- jalandhar -144005 , jalandhar","Contact No : , 0181 , 2266451, 0181 , 2266452,",Contact Person : NULL
ABC INDIA LIMITED,"plot no.127- ind. area jalandhar , jalandhar","Contact No : 9357301143, 2491927,",Contact Person : NULL
THE J.S.K. ROADLINES,"e-44- ind area jalandhar , jalandhar","Contact No : , 2294133,",Contact Person : NULL
SUKHMIDER TRANSPORT SERVICE,"plot no.44- transport nagar jalandhar , jalandhar","Contact No : 9814185040, 2602140,",Contact Person : NULL
IFFCO-TOKIO GENERAL INSURANCE CO. LTD.,"plot no. eh198- g.t. road� nirmal complex� - swagat palace�civil lines- jalandhar -144001 , jalandhar","Contact No : , 0181 , 2225500,",Contact Person : rohit joshi
AMAR GOODS CARRIERS,"7- 296- transport nagar g.t. road jalandhar , jalandhar","Contact No : 9876758071, 5002613,",Contact Person : NULL
M.P. MAHATASHTRA CARRIERS (INDIA),"plot no.4 ind. area near tci jalandhar , jalandhar","Contact No : 9317744596, ,",Contact Person : NULL
DHILLON TRANSPORT AGENCY,"74- kapurthala road jalandhar , jalandhar","Contact No : 9815030407, 2621897,",Contact Person : NULL
SURAJ TRANSPORT ROADWAYS PVT. LTD.,"no. s-127� industrial area- jalandhar -302006 , jalandhar","Contact No : 9417768209, ,",Contact Person : pawan kumar
NEW PUNJAB RAJASTHAN TPT. CO. PVT.LTD.,"7- patel chowk jalandhar , jalandhar","Contact No : , 5077502,",Contact Person : NULL
ALLIED MOVERS & PACKERS INDIA,"plot no. 14� patel chowk- jalandhar -144001 , jalandhar","Contact No : 9356752530, 0181 , 3190530,",Contact Person : p.k. aggarwal
TRACKON COURIER PVT. LTD.,"shop 171-� ranjit nagar�g.t. road- jalandhar -144001 , jalandhar","Contact No : 9357300201, 9316171466, 0181 , 3091748,",Contact Person : rajindar singh
NEW MOGA TRANSPORT COMPANY (REGD.),"plot no.1- transport nagar ludhiyana , jalandhar","Contact No : 9464792585, 5016251,",Contact Person : NULL
CAPITAL CARGO CARRIERS(INDIA) REGD.,"8- patel chowk jalandhar , jalandhar","Contact No : 9814077800, 2620549,",Contact Person : NULL
KOTAK MAHINDRA OLD MUTUAL LIFE INSURANCE LTD.,"2nd floor-� arora prime towers�g.t. road- jalandhar -144001 , jalandhar","Contact No : , 18002098800,",Contact Person : NULL
CONTINENTAL CARRIERS PVT. LTD.,"no. 204� pam rose- world trade centre�g.t. road- jalandhar -144001 , jalandhar","Contact No : , 0181 , 4339100,",Contact Person : NULL
ONKAR SANDHU TRANSPORT CARRIERS,"207- ind. area jalandhar , jalandhar","Contact No : 9256085266, ,",Contact Person : NULL
NEW BHARAT TRANSPORT CORPORATION,"7-a- indira building patel chowk jalandhar , jalandhar","Contact No : , 2620371,",Contact Person : NULL
SAVANI TRANSPORT LTD.,"3- patel chowk jalandhar , jalandhar","Contact No : , 3200229,",Contact Person : NULL
SINGLA ROADWAYS PVT.LTD.,"transport nagar jalandhar , jalandhar","Contact No : 9888335972, ,",Contact Person : NULL
HARSH TRANSPORT PVT.LTD.,"33- kapurthala road jalandhar , jalandhar","Contact No : 9888636886, 4624601,",Contact Person : NULL
BHARAT GOODS CARRIERS,"p.no.17- patel chowk jalandhar , jalandhar","Contact No : 9357201010, 2282248,",Contact Person : NULL
KARNATAKA FREIGHT MOVER PVT.LTD.,"plot no.228- transport nagar jalandhar , jalandhar","Contact No : 9316945187, ,",Contact Person : NULL
ASSAM BENGAL ROADLINES,"16- b.n. patel chok jalandhar , jalandhar","Contact No : 9815601619, 2401967,",Contact Person : NULL
KAPOOR STUDIO,"shop no 2- m c market- sodal j m p road- sodal nagar�sodal road- jalandhar -144004 , jalandhar","Contact No : 9872737046, 0181 , 5095541,",Contact Person : NULL
PRINCE CARGO MOVERS,"ram nagar fatak ind. area jalandhar , jalandhar","Contact No : 9815311995, 2292295,",Contact Person : NULL
AMAN ROAD CARRIERS,"38- kapurthala road jalandhar , jalandhar","Contact No : 9357257757, 2621276,",Contact Person : NULL
JBR CARRIERS,"42b- kapurthala road jalandhar , jalandhar","Contact No : 9357721142, 2621142,",Contact Person : NULL
HARJEET ROAD TRANSPORT CORPORATION,"jail link road jalandhar , jalandhar","Contact No : 9815912341, 5007711,",Contact Person : NULL
JET COURIER AND CARGO SERVICES,"no. 12/6� street shivaji nagar- danish madan , jalandhar","Contact No : 9357216748, 0182 , 2431493,",Contact Person : NULL
SHIVAM CARGO PACKERS & MOVERS,"7-� shree arihant building- mohali- chandigarh -140501 , jalandhar","Contact No : 9356627134, , 9810481634",Contact Person : NULL
GANGORE LOGISTICS PVT.LTD.,"wh-122- kapurthala jalandhar , jalandhar","Contact No : 9317410096, ,",Contact Person : NULL
AEGON RELIGARE LIFE INSURANCE,"sco-5- 1st floor-� puda complex�court road- jalandhar -144001 , jalandhar","Contact No : , 0181 , 6612829,",Contact Person : NULL
BHARTI AXA LIFE INSURANCE CO. LTD.,"2nd floor� multani complex�tanda road- jalandhar -144001 , jalandhar","Contact No : 9999999999, 18001032292,",Contact Person : NULL
RASTRIYA CARGO TRANSPORT (REGD.),"411- shiv nagar ind. area jalandhar , jalandhar","Contact No : 9988827577, 2621995,",Contact Person : NULL
JUPETER GOLDEN CARRYING CORPORATION,"34- new gopal nagar grain market road jalandhar , jalandhar","Contact No : 9357208074, 2491758,",Contact Person : NULL
AKAL GOODS TRANSPORT CORPN.,"297- transport nagar jalandhar , jalandhar","Contact No : 9417219115, 5087853,",Contact Person : NULL
THE JULLUNDHAR EX-SERVICEMEN MOTORS,"6- patel chowk jalandhar , jalandhar","Contact No : 9872083220, 2403615,",Contact Person : NULL
INDO ARYA CETREL TRANSPORT LTD.,"137- kapurthala road jalandhar , jalandhar","Contact No : 9988887638, 2620963,",Contact Person : NULL
D.S. TRANSPORT CORPORATION (REGD.),"126- transport nagar jalandhar , jalandhar","Contact No : 9872800162, 5013692,",Contact Person : NULL
AGGARWAL CARGO PACKERS & MOVERS (REGD.),"h.no-10- guru nanak nagaripatel chowk , jalandhar","Contact No : 9888283748, 9888282791, 0181, 5091600,",Contact Person : manjeet kumar
THE FAST ROAD CARRIER,"13- patel chowk jalandhar , jalandhar","Contact No : 9316597577, 2282411,",Contact Person : NULL
VARUN LOGISTICS,"n.h.16- patel chowk jalandhar , jalandhar","Contact No : 9356670853, 3253882,",Contact Person : NULL
PATIALA FREIGHTWAYS (REGD.),"wh-61- kapurthala road jalandhar , jalandhar","Contact No : , 5002366,",Contact Person : NULL
INTEGRATED REGISTRY SERVICES LTD.,"no. 62� modern colony�g.t. road- jalandhar -144001 , jalandhar","Contact No : , 0181 , 2239233, 0181 , 2459234, 0181 , 5080933,",Contact Person : shikha gupta
ANIMIKA ROADWAYS,"n.h.127 ind. area jalandhar , jalandhar","Contact No : 9779740217, 2491927,",Contact Person : NULL
